,s1_1,s2_1,s1_2,s2_2,s1_3,s2_3
21,,1.6342252252252252,2.4504504504504503,2.45145045045045,2.098098098098098,2.0990980980980978
22,,1.630222222222222,2.4464464464464464,2.4474464464464463,2.094094094094094,2.095094094094094
23,,1.626219219219219,2.4424424424424425,2.4434424424424424,2.09009009009009,2.09109009009009
24,,1.6182132132132132,2.4384384384384385,2.4394384384384384,2.086086086086086,2.087086086086086
25,,1.61421021021021,2.4344344344344346,2.4354344344344345,2.0820820820820822,2.083082082082082
26,,1.6102072072072071,2.4304304304304303,2.43143043043043,2.078078078078078,2.0790780780780778
27,,1.6062042042042042,2.4264264264264264,2.4274264264264263,2.074074074074074,2.075074074074074
28,,1.598198198198198,2.4224224224224224,2.4234224224224223,2.07007007007007,2.07107007007007
29,,1.5941951951951951,2.4184184184184185,2.4194184184184184,2.066066066066066,2.067066066066066
30,,1.590192192192192,2.414414414414414,2.415414414414414,2.062062062062062,2.063062062062062
31,,1.5821861861861861,2.4104104104104103,2.41141041041041,2.058058058058058,2.0590580580580577
32,,1.5781831831831832,2.4064064064064064,2.4074064064064062,2.054054054054054,2.055054054054054
33,,1.57418018018018,2.4024024024024024,2.4034024024024023,2.05005005005005,2.05105005005005
34,,1.570177177177177,2.3983983983983985,2.3993983983983984,2.046046046046046,2.047046046046046
35,,1.562171171171171,2.394394394394394,2.395394394394394,2.042042042042042,2.043042042042042
36,,1.558168168168168,2.3903903903903903,2.39139039039039,2.034034034034034,2.035034034034034
37,,1.5541651651651651,2.3863863863863863,2.3873863863863862,2.03003003003003,2.03103003003003
38,,1.546159159159159,2.3823823823823824,2.3833823823823823,2.026026026026026,2.027026026026026
39,,1.542156156156156,2.3783783783783785,2.3793783783783784,2.022022022022022,2.023022022022022
40,,1.5381531531531532,2.374374374374374,2.375374374374374,2.018018018018018,2.0190180180180177
41,,1.530147147147147,2.3703703703703702,2.37137037037037,2.014014014014014,2.015014014014014
42,,1.5261441441441441,2.3663663663663663,2.367366366366366,2.01001001001001,2.01101001001001
43,,1.522141141141141,2.3623623623623624,2.3633623623623623,2.006006006006006,2.007006006006006
44,,1.514135135135135,2.3583583583583585,2.3593583583583584,2.002002002002002,2.003002002002002
45,,1.510132132132132,2.354354354354354,2.355354354354354,1.997997997997998,1.998997997997998
46,,1.502126126126126,2.3503503503503502,2.35135035035035,1.993993993993994,1.9949939939939938
47,,1.498123123123123,2.3463463463463463,2.347346346346346,1.98998998998999,1.9909899899899899
48,,1.49412012012012,2.3423423423423424,2.3433423423423423,1.985985985985986,1.986985985985986
49,,1.486114114114114,2.3383383383383385,2.3393383383383384,1.981981981981982,1.9829819819819818
50,,1.482111111111111,2.334334334334334,2.335334334334334,1.977977977977978,1.978977977977978
51,,1.474105105105105,2.33033033033033,2.33133033033033,1.973973973973974,1.9749739739739738
52,,1.470102102102102,2.3263263263263263,2.327326326326326,1.96996996996997,1.9709699699699699
53,,1.462096096096096,2.3223223223223224,2.3233223223223223,1.9659659659659658,1.9669659659659657
54,,1.4580930930930929,2.3183183183183185,2.3193183183183184,1.957957957957958,1.958957957957958
55,,1.450087087087087,2.314314314314314,2.315314314314314,1.9539539539539539,1.9549539539539538
56,,1.446084084084084,2.31031031031031,2.31131031031031,1.94994994994995,1.9509499499499499
57,,1.438078078078078,2.3063063063063063,2.307306306306306,1.9459459459459458,1.9469459459459457
58,,1.434075075075075,2.3023023023023024,2.3033023023023023,1.941941941941942,1.9429419419419418
59,,1.426069069069069,2.2982982982982985,2.2992982982982983,1.937937937937938,1.938937937937938
60,,1.422066066066066,2.294294294294294,2.295294294294294,1.9339339339339339,1.9349339339339338
61,,1.41406006006006,2.29029029029029,2.29129029029029,1.92992992992993,1.9309299299299298
62,,1.406054054054054,2.2862862862862863,2.287286286286286,1.9259259259259258,1.9269259259259257
63,,1.4020510510510509,2.2822822822822824,2.2832822822822822,1.921921921921922,1.9229219219219218
64,,1.394045045045045,2.2782782782782784,2.2792782782782783,1.917917917917918,1.9189179179179179
65,,1.386039039039039,2.274274274274274,2.275274274274274,1.9139139139139139,1.9149139139139137
66,,1.382036036036036,2.27027027027027,2.27127027027027,1.90990990990991,1.9109099099099098
67,,1.3740300300300299,2.2662662662662663,2.267266266266266,1.901901901901902,1.9029019019019018
68,,1.366024024024024,2.2622622622622623,2.2632622622622622,1.897897897897898,1.8988978978978979
69,,1.3620210210210209,2.2582582582582584,2.2592582582582583,,1.8944204204204202
70,,1.354015015015015,2.254254254254254,2.255254254254254,,1.8904174174174173
71,,1.3460090090090089,2.25025025025025,2.25125025025025,,1.8864144144144144
72,,1.3380030030030028,2.2462462462462462,2.247246246246246,,1.8824114114114112
73,,1.329996996996997,2.2422422422422423,2.2432422422422422,,1.8784084084084083
74,,1.325993993993994,2.2382382382382384,2.2392382382382383,,1.8744054054054053
75,,1.3179879879879879,2.234234234234234,2.235234234234234,,1.8704024024024022
76,,1.3099819819819818,2.23023023023023,2.23123023023023,,1.8623963963963963
77,,1.301975975975976,2.2262262262262262,2.227226226226226,,1.8583933933933934
